service_body	meeting_name	weekday	start_time	duration	location_sub_province	location_info	location_name	location_street	location_municipality	location_province	location_postalcode_1	formats	comments	longitude	latitude
2	No Turning Back Group	1	11:00:00	1:30:00	St Louis City		Islamic Center	1434 N Grand Blvd	St. Louis	MO	63106	O			
2	Women & Men Do Recover Group	1	15:00:00	1:30:00	St Louis City	Hall Entrance	North City Church of Christ	5050 Thekla Ave	St. Louis	MO	63115	"O,WC"	"These are ""comments"" about this meeting, and note the escaped double-quotes."		
3	Spiritual Connection Group	1	10:30:00	1:30:00	St Charles		Bridgeway Counseling Service	1570 S Main St	St. Charles	MO	63303	"O,WC"			
3	Crossdoads Connection Group	1	16:30:00	1:00:00	St Charles		Progress West Medical Plaza	2630 Hwy K	O'Fallon	MO	63368	"O,WC"			
4	"It Works, How and Why Group"	1	10:30:00	1:00:00	Madison		Community Counseling Center	2615 Edwards St	Alton	IL	62022	"O,WC"			
4	Women In Recovery Group	1	10:30:00	1:00:00	Madison		Senior Services Plus	2603 N Rogers Ave	Alton	IL	62002	"O,WC"			
5	Point Of Freedom Group	2	19:00:00	1:00:00	Jefferson		Community of Christ Church	2315 Lonedell Rd	Arnold	MO	63010	"O,WC"			
5	Surrendering Our Will Group	2	19:00:00	1:00:00				THIS IS A BAD ADDRESS	FAIL	ES		"O,WC"			
6	CAG Group	1	10:00:00	1:00:00	Jackson			3943 Main	Kansas City	MO	64111	"C,L,WC"			
6	CAG Group	1	12:00:00	1:00:00	Jackson			3943 Main	Kansas City	MO	64111	"C,L,WC"			
7	Dead Or Alive Group	1	11:00:00	1:00:00	Johnson KS			7930 Quivira Rd	Lenexa	KS	66215	"C,T"			
7	Recovery Is Possible Group	1	12:00:00	1:00:00	Leavenworth KS			329 Delaware	Leavenworth	KS	66048	"C,L,WC"			
8	Clean & Crazy Group	1	17:30:00	1:00:00	Clay			1000 NE Barry Rd	Kansas City	MO	64155	"O,T,WC"			
8	Crossroads North Group	1	18:30:00	1:00:00	Clinton			116 W 4th St	Cameron	MO	64429	"C,WC"			
9	The Other Side Group	1	12:00:00	1:00:00	Jackson			12905 7th St	Grandview	MO	64030	"O,T"			
9	OG NA Group	1	17:00:00	1:00:00	Jackson		Oak Grove Christian Church	118 22nd St	Oak Grove	MO	64075	"O,L,WC"			
10	Just For Today Group	1	10:00:00	1:00:00	Greene		Club House	819 W Commercial St	Springfield	MO	65803	"O,WC"			
10	Just For Today Group	1	12:00:00	1:00:00	Greene		Club House	819 W Commercial St	Springfield	MO	65803	"O,T,WC"			
	BAD BOYS WATCHAGONNA DO NOW	1	12:00:00	1:00:00	Greene		Club House	819 W Commercial St	Springfield	MO	65803	"O,T,WC"			
11	BAD BOYS WATCHAGONNA DO NOW	1		1:00:00	Greene		Club House	819 W Commercial St	Springfield	MO	65803	"O,T,WC"			
100	BAD BOYS WATCHAGONNA DO NOW	1	12:00:00	1:00:00	Greene		Club House	819 W Commercial St	Springfield	MO	65803	"O,T,WC"			
11	We Do Recover Group	1	18:00:00	1:00:00	Boone	Main door _ Left down hall _ Friendship Hall	Unity Center	1600 W Broadway	Columbia	MO	65203	"C,L,WC"			
11	Because We Care Group	1	19:00:00	1:00:00	Pettis	Osage door _ Basement	First United Methodist Church	410 S Osage	Sedalia	MO	65301	"O,T"			
12	Recovering Addicts On The Loose Group	1	17:00:00	1:00:00	Adair		Beacon Club	209 W Washington St	Kirksville	MO	63501	"O,T,WC"			
12	A New Way To Live Group	1	19:00:00	1:00:00	Randolph		Grant Chapel	501 W End Place	Moberly	MO	65270	C		-92.4414172	39.4217331
13	Spiritual Principles Group	1	9:30:00	1:00:00	Jasper			1880 E 30th St	Joplin	MO	64804	O		-94.496294	37.0567651
13	Straightline Group	1	15:00:00	1:00:00	Delaware			430 N 21st St	Grove	OK	74344	O		-94.787924	36.6064199